dfs,alt,slo,flo,pH,har,pho,nit,amm,oxy,bdo,idSite,Cogo,Satr,Phph,Neba,Thth,Teso,Chna,Chto,Lele,Lece,Baba,Spbi,Gogo,Eslu,Pefl,Rham,Legi,Scer,Cyca,Titi,Abbr,Icme,Acce,Ruru,Blbj,Alal,Anan
3,934,6.176,84,79,45,1,20,0,122,27,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,932,3.434,100,80,40,2,20,10,103,19,2,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,914,3.638,180,83,52,5,22,5,105,35,3,0,5,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
185,854,3.497,253,80,72,10,21,0,110,13,4,0,4,5,5,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0
215,849,3.178,264,81,84,38,52,20,80,62,5,0,2,3,2,0,0,0,0,5,2,0,0,2,4,4,0,0,2,0,3,0,0,0,5,0,0,0
324,846,3.497,286,79,60,20,15,0,102,53,6,0,3,4,5,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0
268,841,4.205,400,81,88,7,15,0,111,22,7,0,5,4,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,792,3.258,130,81,94,20,41,12,70,81,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,752,2.565,480,80,90,30,82,12,72,52,9,0,0,1,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
990,617,4.605,1e3,77,82,6,75,1,100,43,10,0,1,4,4,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1234,483,3.738,1990,81,96,30,160,0,115,27,11,1,3,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324,477,2.833,2e3,79,86,4,50,0,122,30,12,2,5,4,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436,450,3.091,2110,81,98,6,52,0,124,24,13,2,5,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522,434,2.565,2120,83,98,27,123,0,123,38,14,3,5,5,4,4,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1645,415,1.792,2300,86,86,40,100,0,117,21,15,3,4,4,5,2,4,0,0,3,3,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1859,375,3.045,1610,80,88,20,200,5,103,27,16,2,3,3,5,0,5,0,4,5,2,2,1,2,1,1,0,1,0,1,1,0,0,0,1,0,0,0
1985,348,1.792,2430,80,92,20,250,20,102,46,17,1,2,4,4,1,2,1,4,3,2,3,4,1,1,2,1,1,0,1,1,0,0,0,2,0,2,1
2110,332,2.197,2500,80,90,50,220,20,103,28,18,1,1,3,3,1,1,1,3,2,3,3,3,2,1,3,2,1,0,1,1,0,0,1,2,0,2,1
2246,310,1.792,2590,81,84,60,220,15,106,33,19,0,0,3,5,0,1,2,3,2,1,2,2,4,1,1,2,1,1,1,2,1,0,1,5,1,3,1
2477,286,2.197,2680,80,86,30,300,30,103,28,20,0,0,1,2,0,0,2,2,2,3,4,3,4,2,2,3,2,2,1,4,1,0,2,5,2,5,2
2812,262,2.398,2720,79,85,20,220,10,90,41,21,0,0,1,1,0,0,2,2,2,2,4,2,5,3,3,3,2,2,2,4,3,1,3,5,3,5,2
2940,254,2.708,2790,81,88,20,162,7,91,48,22,0,0,0,1,0,0,3,2,3,4,5,1,5,3,4,3,3,2,3,4,4,2,4,5,4,5,2
3043,246,2.565,2880,81,97,260,350,115,63,164,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
3147,241,1.386,2976,80,99,140,250,60,52,123,24,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,2,2,1,5,0
3278,231,1.792,3870,79,100,422,620,180,41,167,25,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0,1,1,0,3,0
3579,214,1.792,3910,79,94,143,300,30,62,89,26,0,0,0,1,0,0,1,0,1,2,2,1,3,2,1,2,2,1,1,3,2,1,4,4,2,5,2
3732,206,2.565,3960,81,90,58,300,26,72,63,27,0,0,0,1,0,0,1,1,2,3,4,1,4,4,1,3,3,1,2,5,3,2,5,5,4,5,3
3947,195,1.386,4320,83,100,74,400,30,81,45,28,0,0,0,1,0,0,1,1,2,4,3,1,4,3,2,4,4,2,4,4,3,3,5,5,5,5,4
4220,183,1.946,6770,78,110,45,162,10,90,42,29,0,1,1,1,1,1,2,2,3,4,5,3,5,5,4,5,5,2,3,3,4,4,5,5,4,5,4
4530,172,1.099,6900,82,109,65,160,10,82,44,30,0,0,0,0,0,0,1,2,3,3,3,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5
